# One Inch Photodetector
# AW 2021-09-02
# OPA818 op-amp
# RF 12k Ohm
# CF not installed
# FGA01FC InGaAs photodiode, 2pF @ 5V
#
# Trace A: SA floor 
# Trace B: detector dark noise
# Trace C: detector response
# Trace D: detector response, 10dB optical attenuation added
# 3 kHz RBW, frequency sweep 1MHz to 500MHz
#
# Machine Module,SSA3021X
# Y Axis Scale,LOG
# Y Axis Unit,dBm
# Impedance,50
# Number of Points,751
# Sweep Time(s),36.843309,Auto
# Start Frequency,+1.000000000e+06
# Stop Frequency,+5.000000000e+08
# Offset Frequency,+0.000000000e+00
# Average Type,Log Pwr
# RBW,3000.000000,Manual
# VBW,3000.000000,Auto
# Sweep Type,Continuous
# Sweep Mode,Auto
# Sweep Rule,Speed
# PreAmp State,ON
# Ref Level,-2.500000000e+01
# Attenuation,15,Manual
# Trigger Source,FreeRun
# Trigger Level,+0.000000000e+00
# External Trigger Edge,FALL
# Video Trigger Edge,FALL
# Marker Information
# Marker,Trace,Type,X Axis,Amplitude
# Marker1,C,Frequency,110.114667 MHz,-33.01 dBm
# Trace Math,0
# Trace Variable X,Trace A
# Trace Variable Y,Trace B
# Trace Variable Z,Trace C
# Trace Name,Trace A,Trace B,Trace C,Trace D
# Trace Type,View,View,View,View
# Trace Detector,Sample,Sample,Pos Peak,Pos Peak
# Trace Data
1.074533e+08,-1.179822e+02,-9.811894e+01,-3.264335e+01,-5.166679e+01
1.081187e+08,-1.179988e+02,-1.012342e+02,-3.273124e+01,-5.175468e+01
1.087840e+08,-1.179744e+02,-1.016766e+02,-3.281425e+01,-5.184257e+01
1.094493e+08,-1.157918e+02,-1.011453e+02,-3.289726e+01,-5.193046e+01
1.101147e+08,-1.179510e+02,-9.841093e+01,-3.300956e+01,-5.203300e+01
1.107800e+08,-1.164392e+02,-9.857108e+01,-3.305839e+01,-5.205741e+01
1.114453e+08,-1.167019e+02,-1.000467e+02,-3.318046e+01,-5.220390e+01
1.121107e+08,-1.155867e+02,-1.029139e+02,-3.323417e+01,-5.224296e+01
1.127760e+08,-1.174725e+02,-1.022635e+02,-3.337089e+01,-5.240409e+01
1.134413e+08,-1.151150e+02,-9.998124e+01,-3.342948e+01,-5.245292e+01
1.141067e+08,-1.181648e+02,-9.813651e+01,-3.355644e+01,-5.256034e+01
1.147720e+08,-1.150691e+02,-9.966776e+01,-3.361503e+01,-5.264823e+01
1.154373e+08,-1.147488e+02,-1.011746e+02,-3.373710e+01,-5.274101e+01
1.161027e+08,-1.149490e+02,-9.972929e+01,-3.379569e+01,-5.279472e+01
1.167680e+08,-1.174012e+02,-1.033514e+02,-3.391288e+01,-5.292167e+01
1.174333e+08,-1.199539e+02,-1.027713e+02,-3.399101e+01,-5.301933e+01
1.180987e+08,-1.176717e+02,-1.016150e+02,-3.408866e+01,-5.308280e+01
1.187640e+08,-1.152742e+02,-9.914433e+01,-3.418632e+01,-5.318534e+01
1.194293e+08,-1.149783e+02,-9.926249e+01,-3.427421e+01,-5.328788e+01
1.200947e+08,-1.155320e+02,-9.931327e+01,-3.437675e+01,-5.341483e+01
