#Machine Module,SSA3021X
#Y Axis Scale,LOG
#Y Axis Unit,dBm
#PreAmp State,ON
#Ref Level,-10.00 dBm
#Ref Offset,0.00 dB
#Attenuation,30,Auto
#X Axis Scale,LINE
#Impedance,50
#Number of Points,751
#Sweep Time(s),0.945000,Auto
#Sweep Times Type,Continuous
#Sweep Mode,Sweep
#Sweep Rule,Speed
#Start Frequency,1000000
#Stop Frequency,100000000
#Offset Frequency,0
#Average Type,Log Pwr
#RBW,30000.000000,Manual
#VBW,30000.000000,Auto
#RBW Filter,Gaussian
#Trigger Source,FreeRun
#Trigger Level,0.00 dBm
#External Trigger Edge,RISE
#Video Trigger Edge,RISE
#Marker Information
#Marker,Trace,Type,X Axis,Amplitude
#Marker1,C,Frequency,25.024000 MHz,-37.30 dBm
#Marker2,C,Frequency,43.768000 MHz,-40.56 dBm
#Peak Table Information
#Peak Threshold,-90.00 dBm
#Peak Excursion,15.00 dB
#Peak,Trace,X Axis,Amplitude
#0,1,1.132000 MHz,-86.17 dBm
#Trace Math Type,Off
#Trace Math Offset, 0
#Trace Variable X,Trace A
#Trace Variable Y,Trace B
#Trace Variable Z,Trace C
#Trace Name,Trace A,Trace B,Trace C,Trace D
#Trace Type,View,View,View,Blank
#Trace Detector,Sample,Sample,Sample,Pos Peak
#Trace Data
37564000.000000,-90.61,-71.61,-39.03,
37696000.000000,-91.83,-70.97,-39.49,
37828000.000000,-91.05,-71.46,-39.31,
37960000.000000,-91.01,-71.73,-39.09,
38092000.000000,-89.77,-71.39,-39.27,
38224000.000000,-92.73,-71.00,-39.54,
38356000.000000,-92.56,-72.17,-39.34,
38488000.000000,-91.95,-70.35,-39.41,
38620000.000000,-92.75,-71.33,-39.69,
38752000.000000,-92.18,-70.84,-39.37,
38884000.000000,-91.63,-70.98,-39.51,
39016000.000000,-90.93,-70.11,-39.55,
39148000.000000,-91.93,-71.22,-39.43,
39280000.000000,-90.44,-71.21,-39.72,
39412000.000000,-91.73,-71.46,-39.40,
39544000.000000,-90.13,-71.40,-39.70,
39676000.000000,-91.59,-72.38,-39.75,
39808000.000000,-92.02,-70.64,-39.58,
39940000.000000,-92.30,-69.33,-39.43,
40072000.000000,-89.34,-71.10,-39.62,
40204000.000000,-91.05,-71.55,-40.04,
40336000.000000,-91.84,-70.97,-39.87,
40468000.000000,-89.71,-72.33,-39.78,
40600000.000000,-91.73,-73.19,-39.72,
40732000.000000,-92.80,-72.20,-40.07,
40864000.000000,-90.05,-71.75,-40.06,
40996000.000000,-92.08,-70.50,-40.01,
41128000.000000,-90.00,-70.73,-39.95,
41260000.000000,-91.88,-72.47,-39.86,
41392000.000000,-89.62,-70.82,-40.04,
41524000.000000,-91.84,-72.28,-39.85,
41656000.000000,-91.35,-70.91,-40.14,
41788000.000000,-91.48,-70.85,-40.39,
41920000.000000,-91.47,-70.69,-39.98,
42052000.000000,-91.76,-70.73,-40.14,
42184000.000000,-90.17,-71.67,-40.18,
42316000.000000,-90.98,-70.76,-40.12,
42448000.000000,-91.78,-71.57,-40.22,
42580000.000000,-90.60,-72.80,-40.60,
42712000.000000,-92.58,-70.65,-40.30,
42844000.000000,-92.57,-70.48,-40.35,
42976000.000000,-91.46,-70.50,-40.10,
43108000.000000,-93.34,-72.18,-40.43,
43240000.000000,-92.07,-71.32,-40.50,
43372000.000000,-93.24,-70.19,-40.29,
43504000.000000,-90.44,-69.71,-40.27,
43636000.000000,-92.53,-70.93,-40.93,
43768000.000000,-90.93,-70.22,-40.56,
43900000.000000,-92.69,-69.69,-40.67,
44032000.000000,-90.63,-70.90,-40.49,
44164000.000000,-91.66,-71.18,-40.33,
44296000.000000,-90.62,-70.20,-40.59,
44428000.000000,-90.73,-70.02,-40.44,
44560000.000000,-90.93,-72.58,-40.80,
44692000.000000,-89.80,-72.05,-40.77,
44824000.000000,-91.23,-70.18,-40.70,
44956000.000000,-90.73,-70.85,-41.03,
45088000.000000,-90.82,-72.26,-41.04,
45220000.000000,-91.62,-70.17,-40.55,
45352000.000000,-91.99,-70.72,-40.48,
45484000.000000,-91.22,-71.38,-40.61,
45616000.000000,-90.87,-71.45,-40.87,
45748000.000000,-91.10,-71.36,-40.77,
45880000.000000,-91.24,-71.43,-41.03,
46012000.000000,-90.86,-71.29,-41.09,
46144000.000000,-91.25,-70.62,-40.91,
46276000.000000,-90.68,-69.07,-41.02,
46408000.000000,-90.81,-71.04,-41.08,
46540000.000000,-93.07,-71.94,-41.45,
46672000.000000,-92.02,-70.54,-41.16,
46804000.000000,-89.75,-71.18,-41.05,
46936000.000000,-91.97,-70.07,-41.12,
47068000.000000,-91.97,-72.55,-41.30,
47200000.000000,-92.60,-71.46,-41.23,
47332000.000000,-94.21,-69.75,-41.66,
47464000.000000,-91.22,-70.40,-41.22,
47596000.000000,-91.31,-71.29,-41.69,
47728000.000000,-91.31,-70.89,-41.07,
47860000.000000,-91.88,-71.51,-41.40,
47992000.000000,-92.57,-71.78,-41.78,
48124000.000000,-92.83,-69.84,-41.52,
48256000.000000,-92.37,-71.39,-41.69,
48388000.000000,-90.71,-70.23,-41.74,
48520000.000000,-90.43,-71.12,-41.70,
48652000.000000,-92.05,-71.04,-42.06,
48784000.000000,-89.67,-71.08,-41.81,
48916000.000000,-92.37,-71.40,-41.42,
49048000.000000,-90.38,-71.10,-41.79,
49180000.000000,-90.31,-70.79,-42.06,
49312000.000000,-90.55,-71.53,-41.37,
