#Machine Module,SSA3021X
#Y Axis Scale,LOG
#Y Axis Unit,dBm
#Impedance,50
#Number of Points,751
#Sweep Time(s),0.024000,Auto
#Start Frequency,+1.000000000e+06
#Stop Frequency,+6.000000000e+07
#Average Type,Log Pwr
#RBW,300000.000000,Auto
#VBW,300000.000000,Auto
#Sweep Type,Continuous
#Sweep Mode,Auto
#Sweep Rule,Speed
#PreAmp State,ON
#Ref Level,-1.000000000e+01
#Attenuation,30,Auto
#Trigger Source,FreeRun
#Trigger Level,+0.000000000e+00
#Trigger Edge,FALL
#Marker Information
#Marker,Trace,Type,X Axis,Amplitude
#M2,B,Frequency,12.092000 MHz,-66.19 dBm
#Trace Math,0
#Trace Variable X,Trace A
#Trace Variable Y,Trace B
#Trace Variable Z,Trace C
#Trace Name,Trace B,Trace C,Trace D
#Trace Type,View,View,View
#Trace Detector,Sample,Sample,Pos Peak
#Trace Data
1.689067e+07,-6.340240e+01,-6.285387e+01,-8.168344e+01
1.696933e+07,-6.309504e+01,-6.210689e+01,-8.150850e+01
1.704800e+07,-6.232140e+01,-6.177734e+01,-8.185309e+01
1.712667e+07,-6.343375e+01,-6.146713e+01,-8.170031e+01
1.720533e+07,-6.027598e+01,-6.310715e+01,-8.136504e+01
1.728400e+07,-6.239591e+01,-6.229174e+01,-8.150816e+01
1.736267e+07,-6.052088e+01,-6.070422e+01,-8.195468e+01
1.744133e+07,-6.193194e+01,-6.069041e+01,-8.125052e+01
1.752000e+07,-6.146688e+01,-6.200180e+01,-8.202873e+01
1.759867e+07,-6.158673e+01,-6.217799e+01,-8.095048e+01
1.767733e+07,-6.176846e+01,-6.274480e+01,-8.126446e+01
1.775600e+07,-6.141346e+01,-6.202106e+01,-8.115668e+01
1.783467e+07,-6.082207e+01,-6.230664e+01,-8.035618e+01
1.791333e+07,-6.143381e+01,-6.167349e+01,-8.167370e+01
1.799200e+07,-6.107032e+01,-6.240871e+01,-8.173986e+01
1.807067e+07,-6.016754e+01,-6.156964e+01,-8.085906e+01
1.814933e+07,-6.176321e+01,-6.141721e+01,-8.077055e+01
1.822800e+07,-6.068301e+01,-6.241600e+01,-8.048603e+01
1.830667e+07,-6.150509e+01,-6.130110e+01,-8.163479e+01
1.838533e+07,-6.051230e+01,-6.166402e+01,-8.121219e+01
1.846400e+07,-6.098718e+01,-6.138980e+01,-8.154622e+01
1.854267e+07,-6.026063e+01,-6.131919e+01,-8.089817e+01
1.862133e+07,-5.997510e+01,-6.035780e+01,-8.118295e+01
1.870000e+07,-6.112895e+01,-6.212278e+01,-8.227875e+01
1.877867e+07,-6.042073e+01,-6.027158e+01,-8.135614e+01
1.885733e+07,-6.014790e+01,-6.068852e+01,-8.021044e+01
1.893600e+07,-6.040032e+01,-6.126515e+01,-8.157996e+01
1.901467e+07,-6.075151e+01,-6.124500e+01,-8.162295e+01
1.909333e+07,-6.107437e+01,-6.053418e+01,-8.181698e+01
1.917200e+07,-5.920499e+01,-6.104243e+01,-8.127550e+01
1.925067e+07,-5.941049e+01,-6.072338e+01,-8.154004e+01
1.932933e+07,-5.947781e+01,-5.979979e+01,-8.058832e+01
1.940800e+07,-5.946892e+01,-6.036931e+01,-8.025339e+01
1.948667e+07,-5.941299e+01,-6.100926e+01,-8.175144e+01
1.956533e+07,-5.913385e+01,-6.029335e+01,-8.210765e+01
1.964400e+07,-5.907580e+01,-5.965142e+01,-8.131792e+01
1.972267e+07,-5.943892e+01,-6.011210e+01,-8.054045e+01
1.980133e+07,-5.978225e+01,-5.905962e+01,-8.109339e+01
1.988000e+07,-5.819422e+01,-5.956284e+01,-8.171565e+01
1.995867e+07,-6.008058e+01,-6.057407e+01,-8.227129e+01
2.003733e+07,-5.928458e+01,-5.984053e+01,-8.164290e+01
2.011600e+07,-5.946393e+01,-5.937438e+01,-8.150077e+01
2.019467e+07,-5.969831e+01,-5.893257e+01,-8.258261e+01
2.027333e+07,-5.928472e+01,-5.901340e+01,-8.086248e+01
2.035200e+07,-5.925257e+01,-5.895465e+01,-8.138674e+01
2.043067e+07,-5.808452e+01,-5.868308e+01,-8.175624e+01
2.050933e+07,-5.786936e+01,-5.836954e+01,-8.055146e+01
2.058800e+07,-5.861379e+01,-5.985655e+01,-8.020184e+01
2.066667e+07,-5.794204e+01,-5.986668e+01,-8.112399e+01
2.074533e+07,-5.848879e+01,-5.944163e+01,-8.070664e+01
2.082400e+07,-5.748461e+01,-5.959536e+01,-8.155519e+01
2.090267e+07,-5.857308e+01,-5.904481e+01,-8.038527e+01
2.098133e+07,-5.796647e+01,-5.855953e+01,-8.111856e+01
2.106000e+07,-5.895953e+01,-5.755175e+01,-8.229742e+01
2.113867e+07,-5.817439e+01,-5.861265e+01,-8.247157e+01
2.121733e+07,-5.891333e+01,-5.796344e+01,-8.173868e+01
2.129600e+07,-5.759618e+01,-5.868522e+01,-8.102630e+01
2.137467e+07,-5.755286e+01,-5.855157e+01,-8.127042e+01
2.145333e+07,-5.739404e+01,-5.828097e+01,-8.187774e+01
